PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Toledo,ES_45141,45141,Quero,10.1260,1057.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,31.8340,0.0000,0,0.0000,aislado,45
Toledo,ES_45149,45149,"Romeral, El",7.2240,570.0000,1,1,0.1380,0.0000,0,17.5440,0,0,1,2,6.6110,7.3520,0,0.0000,directo,45
Toledo,ES_45160,45160,Segurilla,61.7480,1408.0000,1,1,0.0160,1.0000,1,7.1020,0,2,1,3,2.6000,12.3170,0,0.0000,directo,45
Guadalajara,ES_19118,19118,Fuembellida,0.4230,11.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,12.1580,13.3470,0,0.0000,aislado,19
Guadalajara,ES_19129,19129,Gascueña de Bornova,1.1700,31.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,79.2940,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19146,19146,"Huerce, La",1.3650,56.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,67.8330,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19157,19157,Jirueque,4.5990,49.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,73.5760,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19169,19169,Mantiel,1.9540,30.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,30.4220,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19178,19178,Megina,1.1480,32.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,1,7.6340,14.1180,0,0.0000,periferico,19
Guadalajara,ES_19188,19188,Mochales,1.2380,40.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,60.9900,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19199,19199,Ocentejo,0.5170,16.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,11.7730,11.7730,0,0.0000,aislado,19
Guadalajara,ES_19212,19212,Pastrana,9.6410,923.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,53.5960,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19222,19222,"Pobo de Dueñas, El",1.8090,100.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,15.2760,16.6580,0,0.0000,aislado,19
Barcelona,ES_08136,8136,Montornès del Vallès,1635.9820,16752.0000,48,48,0.0290,0.0000,0,28.6530,22,239,121,561,0.0840,14.2380,0,0.0000,directo,8
Barcelona,ES_08140,8140,Navarcles,1107.8430,6112.0000,5,5,0.0050,0.0000,0,8.1810,2,21,9,39,0.5840,10.5800,0,0.0000,directo,8
